Fiscal Year Ending,Department/Agency,Merchant Name,Transaction Date,Transaction Amount
2018,Health,WM SUPERCENTER #3717,11/08/2017,25.58
2018,Nashville Career Advancement Center,SQ  SQ  TN LATIN AMERI,11/08/2017,200.00
2018,Health,KROGER #547,11/08/2017,89.97
2018,Arts Commission,PREMIER PARKING - JAVA,11/08/2017,5.00
2018,Parks and Recreation,TARGET        00010595,11/08/2017,129.06
2018,Public Works,SOLID WASTE ASSOCIA,11/08/2017,212.00
2018,Tennessee State Fair,LIGHT BULB DEPOT 07,11/08/2017,82.00
2018,Parks and Recreation,TARGET        00010595,11/08/2017,27.76
2018,Parks and Recreation,PIGGLY WIGGLY #41,11/08/2017,14.23
2018,Public Works,KROGER #880,11/08/2017,9.98
2018,Metro Sports Authority,CALENDAR WIZ LLC,11/08/2017,54.00
2018,Information Technology Services,IBT IIS FINGERPRINT CO,11/08/2017,32.65
2018,Metro Action Commission,WALMART.COM,11/08/2017,402.76
2018,Health,NCCHC,11/08/2017,100.00
2018,Sheriff,AUDIBLE,11/08/2017,-16.37
2018,Sheriff,AUDIBLE,11/08/2017,-16.37
2018,Sheriff,AUDIBLE,11/08/2017,-16.37
2018,Tennessee State Fair,LIGHT BULB DEPOT 07,11/08/2017,116.00
2018,Sheriff,TLO TRANSUNION,11/08/2017,25.00
2018,Sheriff,JOB NEWS,11/08/2017,1000.00
2018,Sheriff,WWW.NEWEGG.COM,11/08/2017,435.68
2018,Information Technology Services,RS DOMAINNAME REGISTE,11/08/2017,235.98
2018,Water Services,BESTBUYCOM805504476485,11/08/2017,76.45
2018,Parks and Recreation,WILSON LODGE FOOD SRVC,11/07/2017,19.11
2018,Parks and Recreation,WAL-MART #0659,11/07/2017,106.55
2018,Police,TXST CASHIERS TEMP,11/07/2017,150.00
2018,Finance,PANERA BREAD #964,11/07/2017,13.99
2018,Arts Commission,EZCATERWHICH WICH,11/07/2017,170.00
2018,Parks and Recreation,CHIEF RENTAL,11/07/2017,274.82
2018,Juvenile Court Judge,PAPA JOHN'S #00460,11/07/2017,17.00
2018,Planning,URBAN LAND INSTITUTE,11/07/2017,15.00
2018,Police,WAL-MART #0688,11/07/2017,63.36
2018,Finance,THE ISLAND HOTEL,11/07/2017,-800.00
2018,Water Services,FEDEX 788324822834,11/07/2017,20.64
2018,Police,TXST CASHIERS TEMP,11/07/2017,150.00
2018,Police,COMCAST,11/07/2017,156.23
2018,General Sessions Court,PUBLIX #1298,11/07/2017,96.77
2018,Police,WASH ME EXPRESS- NASHV,11/07/2017,18.00
2018,Police,TXST CASHIERS TEMP,11/07/2017,150.00
2018,Parks and Recreation,WILSON LODGE FOOD SRVC,11/07/2017,19.11
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,102.70
2018,Public Works,SOLID WASTE ASSOCIA,11/06/2017,184.25
2018,District Attorney,BEST BUY      00001727,11/06/2017,49.99
2018,Human Resources,BED BATH & BEYOND #651,11/06/2017,44.99
2018,Office of Family Safety,GIGIS CUPCAKES - FRANK,11/06/2017,3.50
2018,Police,PRO H2O AUTO WASH,11/06/2017,8.00
2018,Sheriff,VIVID AERIAL,11/06/2017,980.09
2018,Community Education,WALMART.COM,11/06/2017,199.94
2018,Parks and Recreation,SPEEDWAY 01829 705,11/06/2017,40.00
2018,Tennessee State Fair,STAPLES       00115394,11/06/2017,38.57
2018,Planning,USPS PO 4761630296,11/06/2017,72.00
2018,Police,COMCAST,11/06/2017,106.23
2018,Water Services,L2G C I LAND SURVEYORS,11/06/2017,280.00
2018,Metro Clerk,NASHVILLE BAR ASSOCIAT,11/06/2017,339.00
2018,Water Services,MUSIC ROAD INN FRONT D,11/06/2017,273.66
2018,Mayor's Office,SAMSCLUB.COM,11/06/2017,26.70
2018,Health,TENNESSEE MEDICAL ASSO,11/06/2017,820.00
2018,Police,INTERNATIONAL BREACHER,11/06/2017,380.00
2018,Metro Action Commission,BEAU RIVAGE HOTEL AND CASINO,11/06/2017,215.48
2018,Police,KROGER #502,11/06/2017,500.00
2018,Public Defender,OPC CRT SERVICE FEE 02,11/06/2017,4.95
2018,Sheriff,AMAZON MKTPLACE PMTS,11/06/2017,-6.68
2018,Sheriff,PREVENTION RESEARC,11/06/2017,1000.00
2018,Public Defender,OPC KOOTENAI COUNTY FF,11/06/2017,23.00
2018,Police,KROGER #502,11/06/2017,1500.00
2018,Water Services,AMER SOC CIVIL ENGINEE,11/06/2017,445.00
2018,Farmers Market,SQU SQ  HILL AND HOLLO,11/06/2017,12.00
2018,Water Services,NORTHERN TOOL EQUIP,11/06/2017,89.98
2018,Parks and Recreation,BUFFALO WILD WINGS 002,11/06/2017,14.61
2018,Health,HILTON,11/06/2017,136.76
2018,Sheriff,ADOBE  CREATIVE CLOUD,11/06/2017,34.99
2018,Sheriff,ADOBE  CREATIVE CLOUD,11/06/2017,49.99
2018,Police,COMCAST,11/06/2017,106.23
2018,Police,COMCAST,11/06/2017,116.28
2018,Police,RITE AID STORE - 11891,11/06/2017,750.00
2018,Sheriff,ELECTRONIC EXPRESS 3,11/06/2017,179.99
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,204.90
2018,Sheriff,ELECTRONIC EXPRESS 3,11/06/2017,349.99
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Office of Family Safety,DOMINO'S 8713,11/06/2017,148.26
2018,Parks and Recreation,SHELL OIL 910027384QPS,11/06/2017,25.00
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Parks and Recreation,BUFFALO WILD WINGS 002,11/06/2017,17.57
2018,Parks and Recreation,DAVE & BUSTERS #42,11/06/2017,2000.00
2018,Farmers Market,KROGER #895,11/06/2017,23.40
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Metro Council Staff,AMERICAN AIRLINES,11/06/2017,222.89
2018,Health,HILTON,11/06/2017,114.91
2018,Library,WESTIN,11/06/2017,758.85
2018,Information Technology Services,EASYKEYSCOM INC,11/03/2017,145.95
2018,Water Services,ASFPM MADISON WI,11/03/2017,160.00
2018,Police,DELTA,11/03/2017,313.60
2018,Social Services,WAL-MART #695,11/03/2017,2338.10
2018,Parks and Recreation,WILSONS LODGE OGLEBAY,11/03/2017,1805.79
2018,Parks and Recreation,WILSONS LODGE OGLEBAY,11/03/2017,164.71
2018,Mayor's Office,SOUTHWEST AIRLINES,11/03/2017,369.46
2018,Sheriff,NEWARK US 00000075,11/03/2017,107.69
2018,Parks and Recreation,WILSONS LODGE OGLEBAY,11/03/2017,164.71
2018,Mayor's Office,SOUTHWEST AIRLINES,11/03/2017,30.00
2018,Farmers Market,NASHVILLE CASH AND CAR,11/03/2017,30.71
2018,Health,KROGER #502,11/03/2017,435.58
2018,Assessor of Property,APPRAISAL INSTITUTE,11/03/2017,515.00
2018,Parks and Recreation,WILSONS LODGE OGLEBAY,11/03/2017,1805.79
2018,Water Services,ASIS INTL ONLINE,11/03/2017,195.00
2018,Office of Family Safety,PUBLIX #1031,11/03/2017,8.99
2018,Assessor of Property,APPRAISAL INSTITUTE,11/03/2017,515.00
2018,Police,MISTER CAR WASH #84QPS,11/03/2017,7.00
2018,Information Technology Services,IBT IIS FINGERPRINT CO,11/03/2017,32.65
2018,Library,THIRD AVENUE INDUSTRIA,11/03/2017,20.81
2018,Water Services,ASFPM MADISON WI,11/03/2017,160.00
2018,Office of Family Safety,JOANN STORES #1905,11/03/2017,4.87
2018,District Attorney,US DIST CT CLK OFCE,11/03/2017,14.00
2018,Finance,NCPERS,11/03/2017,1000.00
2018,Farmers Market,PUBLIX #1211,11/03/2017,43.21
2018,Municipal Auditorium,LOWES #00532,11/03/2017,43.98
2018,Tennessee State Fair,LIGHT BULB DEPOT 07,11/03/2017,225.00
2018,Finance,THE BUSINESS JOURNALS,11/03/2017,75.00
2018,Tennessee State Fair,EMPIRE INDUSTRIES,11/02/2017,800.00
2018,Health,WM SUPERCENTER #3717,11/02/2017,54.94
2018,Finance,GMEI UTILITY REG. FEE,11/02/2017,99.00
2018,Sheriff,123 SECURITYPRODUCTS.C,11/02/2017,-570.81
2018,Police,CA NARCOTIC OFFICERS A,11/02/2017,475.00
2018,Police,WAL-MART #0688,11/02/2017,343.42
2018,Sheriff,123 SECURITYPRODUCTS.C,11/02/2017,-1129.83
2018,Parks and Recreation,TEACH A CHILD LLC,11/02/2017,174.77
2018,Arts Commission,UBER   US OCT31 X67TN,11/02/2017,-6.73
2018,Planning,NAMIFY LLC,11/02/2017,22.96
2018,Farmers Market,SMILEY'S PRODUCE,11/02/2017,12.00
2018,Tennessee State Fair,OREILLY AUTO #0917,11/02/2017,114.90
2018,Parks and Recreation,PIGGLY WIGGLY #41,11/02/2017,14.36
2018,Health,NATL ASSOC OF 00 OF 00,11/02/2017,1430.00
2018,Arts Commission,MARRIOTT,11/02/2017,579.60
2018,Parks and Recreation,AMAZON MKTPLACE PMTS,11/02/2017,67.49
2018,Water Services,USPS PO 4761650294,11/02/2017,8.65
2018,Tennessee State Fair,LIGHT BULB DEPOT 07,11/02/2017,541.00
2018,Finance,GMEI UTILITY REG. FEE,11/02/2017,99.00
2018,Emergency Communications Center,THE HOME DEPOT #0732,11/02/2017,7.08
2018,Sheriff,LONE STAR EXECUTIVE TR,11/02/2017,250.00
2018,Sheriff,LONE STAR EXECUTIVE TR,11/02/2017,250.00
2018,Emergency Communications Center,NENA,11/02/2017,4555.00
2018,Farmers Market,KROGER #895,11/02/2017,62.89
2018,Arts Commission,MARRIOTT,11/02/2017,476.50
2018,Parks and Recreation,SQ  SQ  BILLY'S SHOE R,11/01/2017,8.00
2018,Police,WWW.DAIGLELAWGROUP.COM,11/01/2017,695.00
2018,Health,AGENT FEE 89007262016783,11/01/2017,35.00
2018,Parks and Recreation,FIVE BELOW 628,11/01/2017,220.99
2018,Parks and Recreation,SAMSCLUB #8294,11/01/2017,301.03
2018,Police,WWW.DAIGLELAWGROUP.COM,11/01/2017,695.00
2018,Water Services,H E PARMER COMPANY INC,11/01/2017,136.10
2018,Library,THE HOME DEPOT #0733,11/01/2017,26.69
2018,Arts Commission,JOLLY PUMPKIN PIZZERIA,11/01/2017,34.12
2018,Library,AMAZON.COM AMZN.COM/BI,11/01/2017,53.00
2018,Parks and Recreation,WM SUPERCENTER #659,11/01/2017,394.21
2018,Arts Commission,UBER   US OCT31 X67TN,11/01/2017,6.73
2018,Tennessee State Fair,SUPERCO SPECIALTY PROD,11/01/2017,406.28
2018,Tennessee State Fair,HARRIS ELECTRIC SUPPLY,11/01/2017,67.14
2018,Public Works,SWISSOTEL,11/01/2017,549.44
2018,Sheriff,ONSOLVE LLC,11/01/2017,1500.00
2018,Arts Commission,UBER   US OCT31 OAO3S,11/01/2017,19.33
2018,Sheriff,AMAZON MKTPLACE PMTS,11/01/2017,78.82
2018,Library,SOUTHWEST AIRLINES,11/01/2017,301.95
2018,Metro Action Commission,KROGER #502,11/01/2017,163.74
2018,Arts Commission,CVS/PHARMACY #07385,11/01/2017,5.87
2018,Sheriff,SOUTHWEST AIRLINES,11/01/2017,255.00
2018,Health,STANFORD GSB-SSIR SUBS,11/01/2017,54.95
2018,Health,AMAZON.COM AMZN.COM/BI,11/01/2017,121.17
2018,Tennessee State Fair,FACEBK 7CXBQFJSG2,11/01/2017,20.00
2018,Community Education,PAYPAL  MANDERKIDS,11/01/2017,160.00
2018,Arts Commission,UBER   US OCT31 WAQSN,11/01/2017,35.37
2018,Health,SOUTHWEST AIRLINES,11/01/2017,433.95
2018,Police,SOUTHWEST AIRLINES,11/01/2017,708.05
2018,Library,NATIONAL COUNCIL ON PU,10/31/2017,255.00
2018,Arts Commission,EB NCDCS 2017 ANNUAL,10/31/2017,265.74
2018,Sheriff,QUALIFIED HARDWARE,10/31/2017,31.00
2018,Police,DELTA,10/31/2017,144.80
2018,Water Services,AMAZON.COM AMZN.COM/BI,10/31/2017,99.28
2018,Arts Commission,REN CEN STARBUCKS,10/31/2017,3.50
2018,General Sessions Court,EZREGISTER,10/31/2017,700.00
2018,Parks and Recreation,EB NCDCS 2017 ANNUAL,10/31/2017,150.00
2018,Sheriff,123 SECURITYPRODUCTS.C,10/31/2017,1129.83
2018,Finance,AMERICAN PAYROLL ASSOC,10/31/2017,254.00
2018,Sheriff,AMAZON.COM,10/31/2017,21.99
2018,Office of Family Safety,PAYPAL  NONPROFMGMT,10/31/2017,350.00
2018,Parks and Recreation,SAMSCLUB #8294,10/31/2017,104.00
2018,Sheriff,AMAZON MKTPLACE PMTS,10/31/2017,108.99
2018,Human Resources,PUBLIX #1211,10/31/2017,127.83
2018,Parks and Recreation,EB NCDCS 2017 ANNUAL,10/31/2017,50.00
2018,Police,SUBWAY        03024825,10/30/2017,60.00
2018,Library,AMAZON MKTPLACE PMTS,10/30/2017,165.80
2018,Police,MARRIOTT,10/30/2017,989.50
2018,Police,ENTERPRISE RENT-A-CAR,10/30/2017,1082.96
2018,Parks and Recreation,SAMS CLUB #8294,10/30/2017,483.50
2018,Arts Commission,UBER   US OCT27 Q25KK,10/30/2017,32.07
2018,Arts Commission,SANTORINI ESTIATORIO,10/30/2017,36.74
2018,Police,MARRIOTT,10/30/2017,899.63
2018,Planning,FIVE POINTS PIZZA,10/30/2017,143.00
2018,Arts Commission,LOS GALANES,10/30/2017,26.08
2018,Planning,PREMIER PARKING - 10TH,10/30/2017,5.00
2018,Police,SOUTHWEST AIRLINES,10/30/2017,359.96
2018,Community Education,AMAZON.COM AMZN.COM/BI,10/30/2017,821.02
2018,Police,SOUTHWEST AIRLINES,10/30/2017,624.06
2018,Police,SOUTHWEST AIRLINES,10/30/2017,495.96
2018,Health,HOSSE & HOSSE SAFE & L,10/30/2017,20.00
2018,Water Services,SPRINGHILL SUITES,10/30/2017,284.96
2018,Police,SOUTHWEST AIRLINES,10/30/2017,568.95
2018,Nashville Career Advancement Center,AGENT FEE 89007260444281,10/30/2017,24.50
2018,Tennessee State Fair,BRUSKE PRODUCTS,10/30/2017,132.19
2018,Police,INSTITUTE FOR THE PREV,10/30/2017,795.00
2018,Arts Commission,DIME STORE,10/30/2017,34.09
2018,Parks and Recreation,PAPA JOHN'S #00239,10/30/2017,139.00
2018,Library,AMAZON.COM AMZN.COM/BI,10/30/2017,12.53
2018,Police,SOUTHWEST AIRLINES,10/30/2017,114.98
2018,Police,MARRIOTT,10/30/2017,899.63
2018,Tennessee State Fair,BRUSKE PRODUCTS,10/30/2017,117.00
2018,Police,SOUTHWEST AIRLINES,10/30/2017,229.96
2018,Police,SOUTHWEST AIRLINES,10/30/2017,229.96
2018,Police,SOUTHWEST AIRLINES,10/30/2017,229.96
2018,Parks and Recreation,ANC NEWSPAPERS.COM,10/30/2017,59.95
2018,Emergency Communications Center,USPS PO 4761670292,10/30/2017,6.59
2018,Codes,AIA PRODUCTS / DUES,10/30/2017,776.00
2018,Finance,AMAZON MKTPLACE PMTS,10/30/2017,216.91
2018,Emergency Communications Center,CHANNING BETE CO AHA,10/30/2017,746.10
2018,Parks and Recreation,MOES ONLINE #1380,10/30/2017,657.37
2018,Parks and Recreation,STAPLES       00115394,10/30/2017,367.84
2018,Library,MARRIOTT,10/30/2017,1718.92
2018,Nashville Career Advancement Center,SOUTHWEST AIRLINES,10/30/2017,243.97
2018,Library,AMAZON MKTPLACE PMTS,10/30/2017,18.08
2018,Health,OMNI HOTELS,10/30/2017,1048.72
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,10/30/2017,27.99
2018,Juvenile Court Judge,GFS STORE #1521,10/30/2017,34.49
2018,District Attorney,HOUSE OF PIZZA,10/30/2017,382.05
2018,Parks and Recreation,LITTLE CAESARS 1815 00,10/30/2017,125.00
2018,Police,INSTITUTE FOR THE PREV,10/30/2017,625.00
2018,Parks and Recreation,THE HOME DEPOT #0732,10/30/2017,71.90
2018,Police,HERMITAGE AUTO WASHQPS,10/30/2017,8.95
2018,Police,SHUR BRITE HI SPEED CA,10/30/2017,9.99
2018,Police,MARRIOTT,10/30/2017,899.63
2018,Arts Commission,CVS/PHARMACY #07385,10/30/2017,10.91
2018,Library,EDUCATION TO GO,10/30/2017,109.00
2018,Police,SOUTHWEST AIRLINES,10/30/2017,240.96
2018,Police,SOUTHWEST AIRLINES,10/30/2017,240.96
2018,Planning,MICHAELS STORES 9607,10/27/2017,48.49
2018,Parks and Recreation,SAMS CLUB #8294,10/27/2017,357.31
2018,Library,HILTON,10/27/2017,642.75
2018,Police,MARRIOTT,10/27/2017,2239.58
2018,Sheriff,JOB NEWS,10/27/2017,1000.00
2018,General Sessions Court,PUBLIX #1426,10/27/2017,15.99
2018,General Sessions Court,EZREGISTER,10/27/2017,600.00
2018,Water Services,UT WATER RESOURCE RESE,10/27/2017,200.00
2018,Sheriff,JOB NEWS,10/27/2017,3000.00
2018,Planning,SQU SQ  DOZEN BAKERY,10/27/2017,36.00
2018,Health,WM SUPERCENTER #3717,10/27/2017,36.80
2018,Police,KROGER #518,10/27/2017,46.99
2018,Water Services,EB NCDCS 2017 ANNUAL,10/27/2017,265.74
2018,General Sessions Court,CRACKER BARREL #13 NAS,10/27/2017,417.70
2018,Social Services,WAL-MART #0695,10/27/2017,1080.80
2018,District Attorney,CARL BLACK CHEVROLET,10/27/2017,538.58
2018,Police,WAL-MART #0659,10/27/2017,303.34
2018,Emergency Communications Center,AVIS RENT A CAR,10/27/2017,354.63
2018,General Sessions Court,PARTY CITY 388,10/27/2017,50.97
2018,General Sessions Court,PUBLIX #1426,10/27/2017,13.56
2018,Social Services,SUBWAY        00036236,10/27/2017,84.50
2018,Health,PAYPAL  NONPROFMGMT,10/27/2017,150.00
2018,Health,PAYPAL  NONPROFMGMT,10/27/2017,150.00
2018,Library,AMAZON MKTPLACE PMTS,10/27/2017,129.25
2018,Parks and Recreation,DAVE & BUSTERS #42,10/27/2017,410.00
2018,Health,PAYPAL  NONPROFMGMT,10/27/2017,150.00
2018,Police,PRO H2O AUTO WASH,10/27/2017,8.00
2018,Police,HAMPTON INN HOTELS,10/27/2017,138.34
2018,Information Technology Services,IBT IIS FINGERPRINT CO,10/27/2017,32.65
2018,Sheriff,123 SECURITYPRODUCTS.C,10/27/2017,570.81
2018,Police,POLICE EXECUTIVE RESEA,10/27/2017,250.00
2018,Health,KROGER #502,10/27/2017,259.74
2018,General Services,DOUBLETREE,10/27/2017,-297.00
2018,Sheriff,HERFF JONES #1219,10/27/2017,660.00
2018,General Services,COREXCEL,10/27/2017,355.50
2018,Water Services,UT WATER RESOURCE RESE,10/27/2017,125.00
2018,Police,HERMITAGE AUTO WASHQPS,10/27/2017,11.95
2018,Parks and Recreation,SAMS CLUB #6447,10/27/2017,195.64
2018,Metro Action Commission,KROGER #547,10/26/2017,21.11
2018,Metro Action Commission,KROGER #502,10/26/2017,23.96
2018,Community Education,OFFICE DEPOT #22,10/26/2017,-44.14
2018,Metro Action Commission,KROGER #547,10/26/2017,19.12
2018,Police,LIM,10/26/2017,60.26
2018,Library,NORTHERN TOOL EQUIP,10/26/2017,69.99
2018,Police,BURGER KING 4PA24,10/26/2017,12.92
2018,Tennessee State Fair,H G LIPSCOMB AND CO,10/26/2017,117.59
2018,Police,GD HOTEL C PAIX,10/26/2017,1703.29
2018,Tennessee State Fair,CORNER MUSIC,10/26/2017,129.94
2018,Police,SHELL OIL 574243770QPS,10/26/2017,57.38
2018,Finance,GRANT PROFESSIONALS AS,10/26/2017,400.00
2018,Police,GFS STORE #1521,10/26/2017,74.97
2018,Police,MCDONALD'S M6911,10/26/2017,10.57
2018,Metro Action Commission,KROGER #502,10/26/2017,51.98
2018,Tennessee State Fair,ACADEMY SPORTS #91,10/26/2017,389.96
2018,Sheriff,AMAZON MKTPLACE PMTS,10/26/2017,269.99
2018,Metro Action Commission,KROGER #547,10/26/2017,244.22
2018,Police,BD CERISE ZR,10/26/2017,23.14
2018,Office of Emergency Management,AMERICAN AIRLINES,10/26/2017,623.80
2018,District Attorney,SAMS CLUB #8257,10/26/2017,135.00
2018,Community Education,SP   HAUS OF YARN,10/26/2017,16.00
2018,Police,SUNOCO 0374649201  QPS,10/26/2017,25.70
2018,Police,SOUTHWEST AIRLINES,10/26/2017,-132.97
2018,Police,MARRIOTT,10/26/2017,2232.54
2018,Water Services,NACD,10/26/2017,1014.00
2018,Police,POLICE EXECUTIVE RESEA,10/26/2017,250.00
2018,Police,POLICE EXECUTIVE RESEA,10/26/2017,250.00
2018,Sheriff,JOB NEWS,10/26/2017,1600.00
2018,Public Works,AMER SOC CIVIL ENGINEE,10/26/2017,275.00
2018,Arts Commission,FORECAST PUBLIC ARTWOR,10/26/2017,60.00
2018,Metro Action Commission,KROGER #502,10/26/2017,36.44
2018,Office of Emergency Management,AMERICAN AIRLINES,10/26/2017,32.81
2018,Parks and Recreation,THE HOME DEPOT #0723,10/26/2017,210.40
2018,Tennessee State Fair,CORNER MUSIC,10/26/2017,37.97
2018,Health,CRAIGSLIST.ORG,10/26/2017,25.00
2018,Health,CRAIGSLIST.ORG,10/26/2017,25.00
2018,Public Defender,GIDEONS PROMISE,10/26/2017,1950.00
2018,Metro Action Commission,KROGER #502,10/26/2017,16.45
2018,Metro Action Commission,KROGER #502,10/26/2017,239.00
2018,Sheriff,JOB NEWS,10/26/2017,2000.00
2018,Water Services,K S SUPPLY CO,10/26/2017,631.67
2018,Information Technology Services,PANERA BREAD #1260,10/25/2017,374.28
2018,Police,WAL-MART #4435,10/25/2017,44.00
2018,Water Services,ABC,10/25/2017,116.00
2018,Police,5-110-SOMERSET,10/25/2017,28.00
2018,Public Defender,OPC KOOTENAI COUNTY FF,10/25/2017,36.00
2018,Tennessee State Fair,ALL INTERIOR SUPPLY IN,10/25/2017,122.88
2018,Police,5-075- NEW STANTON,10/25/2017,5.35
2018,Mayor's Office,SOUTHWEST AIRLINES,10/25/2017,319.95
2018,Police,USPS PO 4761500218,10/25/2017,7.29
2018,Public Works,AMERICAN PUBLIC WORKS,10/25/2017,155.00
2018,Mayor's Office,SOUTHWEST AIRLINES,10/25/2017,30.00
2018,General Sessions Court,NACM,10/25/2017,125.00
2018,Public Defender,OPC CRT SERVICE FEE 02,10/25/2017,4.95
2018,District Attorney,THE HOME DEPOT #0735,10/25/2017,13.41
2018,Information Technology Services,URBILIS.COM,10/25/2017,302.94
2018,Library,N A E Y C CONFERENCE,10/25/2017,510.00
2018,Office of Family Safety,SP   APPREC AT WORK,10/25/2017,312.00
2018,Water Services,AMERICAN PUBLIC WORKS,10/25/2017,355.00
2018,Police,POLICE EXECUTIVE RESEA,10/25/2017,250.00
2018,Police,POLICE EXECUTIVE RESEA,10/25/2017,250.00
2018,Community Education,MICHAELS STORES 9607,10/25/2017,134.04
2018,Office of Emergency Management,SOUTHWEST AIRLINES,10/25/2017,532.00
2018,Public Defender,GIDEONS PROMISE,10/25/2017,550.00
2018,Tennessee State Fair,EMPIRE INDUSTRIES,10/25/2017,708.00
2018,Health,BB  WTH FOUNDATION,10/25/2017,440.00
2018,Library,DNH GODADDY.COM,10/25/2017,299.99
2018,Sheriff,MTSU FORENSIC INST,10/25/2017,300.00
2018,Police,TEXAS ROADHOUSE 2149,10/25/2017,47.59
2018,Library,DNH GODADDY.COM,10/25/2017,299.99
2018,Office of Emergency Management,SOUTHWEST AIRLINES,10/25/2017,2491.65
2018,Tennessee State Fair,SOUTHWEST AIRLINES,10/25/2017,429.97
2018,Police,OFFICER INVOLVED FILM,10/25/2017,25.94
2018,Police,DELTA,10/25/2017,449.80
2018,General Services,ASE TEST FEES,10/24/2017,153.00
2018,Sheriff,INT IN  JJP MECHANICAL,10/24/2017,895.00
2018,General Services,EB NCDCS 2017 ANNUAL,10/24/2017,398.61
2018,Police,POLICE EXECUTIVE RESEA,10/24/2017,250.00
2018,Emergency Communications Center,EB RAVE SUMMIT 2018,10/24/2017,873.36
2018,Police,TRAVEL TRADERS 3039,10/24/2017,15.41
2018,Library,MANNING MATERIALS INC,10/24/2017,45.00
2018,Public Works,AMERICAN PUBLIC WORKS,10/24/2017,30.00
2018,Health,KROGER #547,10/24/2017,142.19
2018,Juvenile Court Judge,"OTC BRANDS,  INC.",10/24/2017,67.89
2018,Information Technology Services,RS DOMAINNAME REGISTE,10/24/2017,22.20
2018,Police,CAZADORES INC,10/24/2017,29.30
2018,Police,CROWN'S FRIED CHICKEN,10/24/2017,10.25
2018,Water Services,BEARING DIST,10/24/2017,72.09
2018,State Trial Courts,METRO COURTHOUSE PSG,10/24/2017,8.00
2018,Tennessee State Fair,SHERWIN WILLIAMS 70387,10/23/2017,-11.06
2018,Sheriff,SQ  SQ  FOOTPRINTS CON,10/23/2017,624.00
2018,Police,UNITED AIRLINES,10/23/2017,163.80
2018,Farmers Market,SQ  SQ  KLD FARM LLC,10/23/2017,10.00
2018,State Trial Courts,KNOXVILLE NEWS,10/23/2017,132.67
2018,Parks and Recreation,GOLD MEDAL TENNESSEE,10/23/2017,82.75
2018,Mayor's Office,HILTON,10/23/2017,287.00
2018,Health,RESIDENCE INN,10/23/2017,481.72
2018,Farmers Market,NASHVILLE CASH AND CAR,10/23/2017,54.24
2018,Library,THE HOME DEPOT #0778,10/23/2017,66.95
2018,Mayor's Office,SOUTHWEST AIRLINES,10/23/2017,30.00
2018,Metro Action Commission,ENTERPRISE RENT-A-CAR,10/23/2017,219.39
2018,Emergency Communications Center,APCO INTERNATIONAL INC,10/23/2017,2304.00
2018,General Services,DOUBLETREE,10/23/2017,281.26
2018,Police,TRAVEL TRADERS 3039,10/23/2017,12.40
2018,Office of Family Safety,AMAZON MKTPLACE PMTS,10/23/2017,35.23
2018,Parks and Recreation,DTV DIRECTV SERVICE,10/23/2017,185.98
2018,State Trial Courts,SWIFTPAGE ACT,10/23/2017,108.16
2018,Health,DOLLAR TREE,10/23/2017,22.00
2018,Police,HILTON,10/23/2017,287.00
2018,General Sessions Court,NASHVILLE BAR ASSOCIAT,10/23/2017,85.00
2018,Arts Commission,BREAD & CO CATERING,10/23/2017,61.80
2018,Office of Family Safety,UDEMY.COM,10/23/2017,18.00
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Tennessee State Fair,THE HOME DEPOT #0732,10/23/2017,215.52
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Arts Commission,PANERA BREAD #601143,10/23/2017,76.96
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Parks and Recreation,PAPA JOHN'S #00076,10/23/2017,77.00
2018,Office of Emergency Management,HOLIDAY INNS,10/23/2017,895.92
2018,Water Services,FREDPRYOR CAREERTRACK,10/23/2017,199.00
2018,Juvenile Court Judge,"OTC BRANDS,  INC.",10/23/2017,7.49
2018,Library,THE HOME DEPOT #0778,10/23/2017,14.90
2018,Library,WEST END LOCK CO,10/23/2017,74.00
